jurisdiction,fiscal_year,appropriation,amount
ca-federal,2010-11,statutory,6174878955.21
ca-federal,2010-11,voted,44047602144.33
ca-federal,2011-12,statutory,5456085989.43
ca-federal,2011-12,voted,77865728330.13
ca-federal,2012-13,statutory,5517373513.73
ca-federal,2012-13,voted,76420380198.2
ca-federal,2013-14,statutory,5435237810.25
ca-federal,2013-14,voted,74602460056.21
ca-federal,2014-15,statutory,6351906431.32
ca-federal,2014-15,voted,90058656711.73
ca-federal,2015-16,statutory,6677963116.45
ca-federal,2015-16,voted,90375812376.23
ca-federal,2016-17,statutory,6828577618.56
ca-federal,2016-17,voted,95233895723.2
ca-federal,2017-18,statutory,8124734293.95
ca-federal,2017-18,voted,102530134160.35
ca-federal,2018-19,statutory,8321331807.5
ca-federal,2018-19,voted,106946308155.44
ca-federal,2019-20,statutory,8709903473.99
ca-federal,2019-20,voted,117037985569.22
ca-federal,2020-21,statutory,8649311107.85
ca-federal,2020-21,voted,130781537100.97
ca-federal,2021-22,statutory,8165479256.76
ca-federal,2021-22,voted,145822347768.95
ca-federal,2022-23,statutory,9475294046.77
ca-federal,2022-23,voted,149101533063.9
ca-federal,2023-24,statutory,12116303712.13
ca-federal,2023-24,voted,223894237904.04
ca-federal,2024-25,statutory,15036823241.5
ca-federal,2024-25,voted,165017007381.52
