jurisdiction,fiscal_year,economic_category,amount
ca-federal,2011-12,capital,5500058978.48
ca-federal,2011-12,debt_service,27881332473.99
ca-federal,2011-12,operating,23236200906.91
ca-federal,2011-12,other,-1353742262.82
ca-federal,2011-12,personnel,39662697659.22
ca-federal,2011-12,transfers,133306284893.52
ca-federal,2012-13,capital,5384262166.7
ca-federal,2012-13,debt_service,25982206930.62
ca-federal,2012-13,operating,21889129305.53
ca-federal,2012-13,other,-1687203369.6
ca-federal,2012-13,personnel,40736585003.91
ca-federal,2012-13,transfers,135512443014.44
ca-federal,2013-14,capital,5065931860.85
ca-federal,2013-14,debt_service,25011766169.69
ca-federal,2013-14,operating,21891550556.69
ca-federal,2013-14,other,-1308295359.99
ca-federal,2013-14,personnel,39686948287.94
ca-federal,2013-14,transfers,139613643435.36
ca-federal,2014-15,capital,5472864526.91
ca-federal,2014-15,debt_service,23487915741.89
ca-federal,2014-15,operating,22006507345.31
ca-federal,2014-15,other,-1095203364.52
ca-federal,2014-15,personnel,39055944364.84
ca-federal,2014-15,transfers,142212401174.61
ca-federal,2015-16,capital,5829405824.05
ca-federal,2015-16,debt_service,22644489702.3
ca-federal,2015-16,operating,23171318227.11
ca-federal,2015-16,other,-1916467725.03
ca-federal,2015-16,personnel,39616655827.52
ca-federal,2015-16,transfers,152054033925.98
ca-federal,2016-17,capital,6226698155.85
ca-federal,2016-17,debt_service,21165999156.14
ca-federal,2016-17,operating,24445144989.2
ca-federal,2016-17,other,-900858739.21
ca-federal,2016-17,personnel,38909594337.71
ca-federal,2016-17,transfers,156108005510.7
ca-federal,2017-18,capital,7702875420.61
ca-federal,2017-18,debt_service,20849886206.56
ca-federal,2017-18,operating,25685940237.45
ca-federal,2017-18,other,-1788801569.81
ca-federal,2017-18,personnel,45262820668.93
ca-federal,2017-18,transfers,163690388177.54
ca-federal,2018-19,capital,8685057197.74
ca-federal,2018-19,debt_service,22453813080.07
ca-federal,2018-19,operating,26516907382.6
ca-federal,2018-19,other,-1469905451.34
ca-federal,2018-19,personnel,46131627562.1
ca-federal,2018-19,transfers,174523035869.54
ca-federal,2019-20,capital,9424909110.35
ca-federal,2019-20,debt_service,23990732002.81
ca-federal,2019-20,operating,27497001300.31
ca-federal,2019-20,other,2204045019.32
ca-federal,2019-20,personnel,46349166394.41
ca-federal,2019-20,transfers,194129307001.6
ca-federal,2020-21,capital,8986127753.34
ca-federal,2020-21,debt_service,20663328853.31
ca-federal,2020-21,operating,35304095977.53
ca-federal,2020-21,other,3137485837.98
ca-federal,2020-21,personnel,52984272319.33
ca-federal,2020-21,transfers,318563685960.96
ca-federal,2021-22,capital,7307008163.79
ca-federal,2021-22,debt_service,23222654105.47
ca-federal,2021-22,operating,40015279198.52
ca-federal,2021-22,other,2096160789.38
ca-federal,2021-22,personnel,60676242565.49
ca-federal,2021-22,transfers,242761520011.52
ca-federal,2022-23,capital,8047746670.89
ca-federal,2022-23,debt_service,31821355761.11
ca-federal,2022-23,operating,39796446675.01
ca-federal,2022-23,other,5275979615.68
ca-federal,2022-23,personnel,56467852189.34
ca-federal,2022-23,transfers,249493365140.2
ca-federal,2023-24,capital,10331980793.28
ca-federal,2023-24,debt_service,42694450748.24
ca-federal,2023-24,operating,40502820459.58
ca-federal,2023-24,other,45867535468.14
ca-federal,2023-24,personnel,65326642735.6
ca-federal,2023-24,transfers,270157527024.95
ca-federal,2024-25,capital,11953932341.79
ca-federal,2024-25,debt_service,48205339138.27
ca-federal,2024-25,operating,40720359042.29
ca-federal,2024-25,other,5115243451.58
ca-federal,2024-25,personnel,71369677195.57
ca-federal,2024-25,transfers,297066868225.15
qc,2021-22,debt_service,6402413000.0
qc,2021-22,operating,3836422000.0
qc,2021-22,other,14382371000.0
qc,2021-22,personnel,4128929000.0
qc,2021-22,transfers,91230612000.0
qc,2022-23,debt_service,7271490000.0
qc,2022-23,operating,4469435000.0
qc,2022-23,other,14753335000.0
qc,2022-23,transfers,99078154000.0
qc,2023-24,debt_service,6821372000.0
qc,2023-24,operating,4099504000.0
qc,2023-24,other,9837699000.0
qc,2023-24,personnel,3999124000.0
qc,2023-24,transfers,100155214000.0
qc,2024-25,debt_service,7051773000.0
qc,2024-25,operating,3382014000.0
qc,2024-25,other,12054574000.0
qc,2024-25,personnel,6105455000.0
qc,2024-25,transfers,106537913000.0
