jurisdiction,fiscal_year,organization,amount
ca-federal,2011-12,Department of Finance,84141929999.74
ca-federal,2011-12,Department of Employment and Social Development,45953451887.08
ca-federal,2011-12,Department of National Defence,20218757861.4
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,7880883137.26
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",4540110273.37
ca-federal,2011-12,Canada Revenue Agency,4351291625.71
ca-federal,2011-12,Canadian International Development Agency,3927263546.68
ca-federal,2011-12,Department of Health,3786299686.46
ca-federal,2011-12,Department of Veterans Affairs,3497087250.45
ca-federal,2011-12,Department of Natural Resources,3352172604.11
ca-federal,2011-12,Royal Canadian Mounted Police,2974575811.21
ca-federal,2011-12,Department of Public Works and Government Services,2793508544.17
ca-federal,2011-12,Correctional Service of Canada,2666854106.44
ca-federal,2011-12,Department of Agriculture and Agri-Food,2557654624.96
ca-federal,2011-12,Treasury Board Secretariat,2504508177.05
ca-federal,2012-13,Department of Finance,83640601445.58
ca-federal,2012-13,Department of Employment and Social Development,48434964624.11
ca-federal,2012-13,Department of National Defence,19978190131.09
ca-federal,2012-13,Department of Crown-Indigenous Relations and Northern Affairs,8095142341.81
ca-federal,2012-13,Canada Revenue Agency,4318468143.26
ca-federal,2012-13,Department of Health,3821158086.27
ca-federal,2012-13,"Department of Housing, Infrastructure and Communities",3752656392.21
ca-federal,2012-13,Department of Veterans Affairs,3486227840.75
ca-federal,2012-13,Canadian International Development Agency,3409557433.98
ca-federal,2012-13,Royal Canadian Mounted Police,3124399358.95
ca-federal,2012-13,Treasury Board Secretariat,2762026013.23
ca-federal,2012-13,Department of Public Works and Government Services,2737533257.02
ca-federal,2012-13,Department of Agriculture and Agri-Food,2681559075.16
ca-federal,2012-13,Correctional Service of Canada,2642999211.33
ca-federal,2012-13,"Department of Foreign Affairs, Trade and Development",2394879110.63
ca-federal,2013-14,Department of Finance,85578872178.67
ca-federal,2013-14,Department of Employment and Social Development,49646912520.99
ca-federal,2013-14,Department of National Defence,18764374206.77
ca-federal,2013-14,Department of Crown-Indigenous Relations and Northern Affairs,8039491674.48
ca-federal,2013-14,"Department of Foreign Affairs, Trade and Development",5065277809.8
ca-federal,2013-14,Canada Revenue Agency,4062859355.74
ca-federal,2013-14,Department of Health,3828179496.63
ca-federal,2013-14,"Department of Housing, Infrastructure and Communities",3513825490.91
ca-federal,2013-14,Department of Veterans Affairs,3513572889.1
ca-federal,2013-14,Treasury Board Secretariat,2892520948.82
ca-federal,2013-14,Royal Canadian Mounted Police,2892380696.33
ca-federal,2013-14,Department of Public Works and Government Services,2847124133.52
ca-federal,2013-14,Correctional Service of Canada,2750291474.85
ca-federal,2013-14,Department of Agriculture and Agri-Food,2386898330.19
ca-federal,2013-14,Department of Natural Resources,2091044593.09
ca-federal,2014-15,Department of Finance,85683154816.37
ca-federal,2014-15,Department of Employment and Social Development,52204757172.28
ca-federal,2014-15,Department of National Defence,18453938460.91
ca-federal,2014-15,Department of Crown-Indigenous Relations and Northern Affairs,7691653137.9
ca-federal,2014-15,"Department of Foreign Affairs, Trade and Development",5939344157.17
ca-federal,2014-15,Canada Revenue Agency,4060833990.32
ca-federal,2014-15,Department of Health,3814473965.62
ca-federal,2014-15,Department of Veterans Affairs,3376879953.97
ca-federal,2014-15,Treasury Board Secretariat,3221689681.48
ca-federal,2014-15,"Department of Housing, Infrastructure and Communities",3095882112.97
ca-federal,2014-15,Royal Canadian Mounted Police,2861888975.21
ca-federal,2014-15,Department of Public Works and Government Services,2767163510.99
ca-federal,2014-15,Correctional Service of Canada,2575228311.93
ca-federal,2014-15,Canada Mortgage and Housing Corporation,2053213063.09
ca-federal,2014-15,Department of Natural Resources,2049418787.01
ca-federal,2015-16,Department of Finance,87007312159.39
ca-federal,2015-16,Department of Employment and Social Development,59598028020.31
ca-federal,2015-16,Department of National Defence,18666073242.67
ca-federal,2015-16,Department of Crown-Indigenous Relations and Northern Affairs,7955294665.78
ca-federal,2015-16,"Department of Foreign Affairs, Trade and Development",5996852566.04
ca-federal,2015-16,Canada Revenue Agency,4146987293.67
ca-federal,2015-16,Treasury Board Secretariat,4127888742.11
ca-federal,2015-16,Department of Health,3881132152.38
ca-federal,2015-16,Department of Veterans Affairs,3595034204.04
ca-federal,2015-16,"Department of Housing, Infrastructure and Communities",3190441756.37
