buyer_name,is_municipal,awards,total_cad,suppliers,direct_awards
Centre d'acquisitions gouvernementales,false,6329,27784186860.72,1468,939
"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",false,26768,22138789874.77,4488,3181
Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),false,6374,17021390113.39,2365,993
Société de transport de Montréal,true,9112,15620415097.89,3696,5317
Ville de Lévis.,true,4728,11205773319.47,2348,2424
Hydro-Québec.,false,2198,11133555674.66,1022,7
Ville de Québec,true,13671,8688788679.04,5101,4504
Ville de Laval,true,9346,7758955633.17,4344,4128
Ministère des Transports et de la mobilité durable (Direction de l'administration des appels d'offres publics),false,4106,6075314609.51,1967,1182
Réseau de Transport Métropolitain (EXO),true,2381,5774634914.14,1232,1499
Ville de Montréal / SIRR - Service des infrastructures du réseau routier,true,1095,5147259934.25,301,170
Centre d'acquisitions gouvernementales - Direction du service à la clientèle et de l'exécution des contrats,false,1638,5106903214.02,655,538
Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),false,5135,4762363758.82,1879,1724
Santé Québec,false,452,4608812128.79,268,201
SigmaSanté,false,1713,3822196834.49,615,262
Centre intégré universitaire de santé et de services sociaux de l'Estrie - Centre Hospitalier Universitaire de Sherbrooke - CHUS,false,7384,3668611820.72,2713,6039
Université McGill,false,10256,3364085333.25,4045,8061
SQI-Direction de projets des hôpitaux Vaudreuil-Soulanges et de l’Outaouais,false,13,3314820609.07,9,9
Ville de Gatineau.,true,7103,3308249819.02,3085,1924
Ministère des Transports (Direction de l'administration des appels d'offres publics),false,4239,3174217448.77,1974,1090
Revenu Québec,false,1985,3152902293.85,639,745
Société de l'assurance automobile du Québec .,false,3516,3083562144.32,1789,1248
CIUSSS du Centre-Sud-de-l'Île-de-Montréal,false,4425,3038130411.0,1879,3492
SQI-Direction Gestion de projets Ouest du Québec,false,710,3037757039.68,453,255
Ville de Montréal - Service de l'approvisionnement,true,2421,2998806101.47,1379,546
Ville de Montréal - Gestion et planification Immobilière,true,1299,2989643530.54,760,437
Ministère des Transports et de la Mobilité durable (Direction générale de la gestion contractuelle),false,1340,2890556537.74,801,303
Ministère de la Cybersécurité et du Numérique - Direction générale des services contractuels,false,1044,2872718381.18,355,519
Centre intégré de santé et de services sociaux (CISSS) des Laurentides,false,3888,2852890590.13,1762,2460
Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec (CIUSSS MCQ),false,5568,2827872837.27,2099,3871
Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale 1,false,3659,2778509859.58,1726,1787
"Ministère du Travail, de l'Emploi et de la Solidarité sociale",false,11663,2635383485.71,2440,11189
Centre de services scolaire de Montréal / BDA,false,2615,2612518027.97,838,931
Ministère des Transports (Direction des contrats de construction et de services),false,2658,2530530434.73,949,281
Ville de Montréal / SITE - Direction des infrastructures,true,797,2423205050.99,254,118
CHU de Québec-Université Laval,false,5260,2412665716.01,1996,3656
CIUSSS du Centre-ouest-de-l'Île-de-Montréal,false,2921,2335426233.15,1490,1941
Groupe d'approvisionnement en commun de l'OUEST du Québec,false,1248,2320128445.2,486,292
Ville de Sherbrooke,true,4193,2290283395.49,1885,611
Ministère des Ressources naturelles et des Forêts,false,1922,2072744037.51,694,360
Université du Québec à Montréal,false,3671,1986902612.03,2180,2598
Centre universitaire de santé McGill.,false,3744,1955991821.3,1860,2151
Centre intégré de santé et de services sociaux de la Montérégie-Centre (CISSS de la Montérégie-Centre),false,2822,1927235357.84,1309,1806
Fonds des ressources informationnelles du secteur de la Santé et des Services sociaux (FRISSSS),false,483,1918072661.6,234,285
Centre Hospitalier de l'Université de Montréal. CHUM,false,5349,1860086634.5,2627,3927
Université Laval,false,7657,1856524539.92,4202,5022
Ville de Trois-Rivières,true,3894,1799455818.6,1940,1072
CISSS de Chaudière-Appalaches,false,4418,1788292173.37,1774,3000
Centre intégré de santé et de services sociaux de Laval,false,3381,1770463604.37,1679,2824
Réseau de transport de la Capitale.,true,1530,1753384508.44,861,547
Centre intégré de santé et de services sociaux de Lanaudière,false,2896,1729519954.36,1460,1849
Ville de Longueuil .,true,2822,1724419982.49,1691,897
Curateur public du Québec,false,183,1658980606.44,106,49
Régie de l'assurance maladie du Québec,false,1976,1614676314.69,828,840
CISSS Montérégie-Ouest,false,2731,1567174947.78,1428,1821
Ville de Saguenay,true,5635,1548508914.51,1894,754
SQI-Direction des contrats,false,1690,1469647890.67,921,109
Centre intégré universitaire de santé et de services sociaux de l’Est-de-l’Île-de-Montréal (CIUSSS),false,3852,1461747019.89,1860,2511
SQI-Direction Gestion de projets Est du Québec,false,401,1448427838.12,271,140
CIUSSS du Saguenay - Lac-Saint-Jean,false,2974,1426294483.53,1115,2243
SQI-Direction Gestion de projets Est SSS,false,384,1425364975.16,273,105
Centre Intégré de Santé et de Services Sociaux de l'Outaouais,false,2922,1406171702.95,1475,2014
Université Concordia,false,5268,1396283607.68,2904,2654
"SQI-Direction immobilière Saguenay-Lac-Saint-Jean, Côte-Nord",false,1164,1357239361.31,604,536
Ministère de la Justice,false,4941,1350934615.27,2248,3923
CIUSSS du Nord-de-l'Île-de-Montréal,false,4226,1347553198.97,1747,3577
Ville de Longueuil,true,1994,1346340594.46,1085,1058
Ville de Terrebonne,true,2689,1333574650.74,1425,743
SQI-​Direction générale du bureau des projets hospitaliers de Québec-centre,false,86,1313138110.62,63,6
Centre intégré de santé et de services sociaux de la Montérégie-Est,false,3244,1300871873.42,1580,2257
Ville de Saint-Jean-sur-Richelieu.,true,2955,1268803485.78,1562,994
Société québécoise des infrastructures,false,1119,1261035337.09,415,177
Revenu Québec -,false,2016,1222941324.77,1067,1226
Société des traversiers du Québec,false,3289,1207620727.02,1360,2338
Université de Montréal - Direction des immeubles,false,1792,1183540803.33,735,699
Groupe d'approvisionnement en commun de l'Est du Québec,false,443,1179854230.07,250,342
Parc olympique,false,857,1159979027.97,563,589
Ministère de l'Énergie et des Ressources naturelles,false,2307,1108501868.84,1262,820
Ville de Montréal - Service de l'Eau,true,269,1104647834.57,179,71
Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,false,1399,1104342477.17,504,6
SQI-Direction Gestion de projets Est 2 (SQI-Gestion de projets Québec SSS),false,316,1103033493.68,258,117
Ville de Drummondville.,true,2210,1094181439.37,1012,189
Université de Montréal - DPMI,false,118,1062941931.53,69,27
Commission scolaire de Montréal / BDA,false,3683,1057795188.52,800,2501
Université de Montréal.,false,5927,1031316336.77,3255,4584
Union des municipalités du Québec.,true,212,999891986.56,69,1
Groupe d'approvisionnement de l'Ouest du Québec,false,503,995560341.71,295,2
Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal,false,3292,995097927.5,1459,2801
CHU Ste-Justine,false,3635,972361960.06,1763,2942
"SQI - Direction des contrats de construction, soutien à l’exploitation, services professionnels et modes alternatifs",false,223,965758959.66,166,15
Autorité régionale de transport métropolitain (ARTM),true,1136,958381810.91,523,929
Commission des services électriques de Montréal,true,509,941393212.61,104,1
Ville de Montréal - Service de l'eau - Direction de l'eau potable,true,253,936948559.22,182,28
Ville de Repentigny.,true,2619,934851227.9,1312,912
Ville de Brossard,true,1286,931602687.28,790,71
Ville de Saint-Jérôme.,true,2200,923938453.1,1216,716
Centre de services scolaire Marie-Victorin,false,1282,918633164.76,531,247
Commission scolaire Kativik..,false,1049,910812280.68,563,777
Réseau de transport de Longueuil.,true,1541,907075491.91,844,420
Héma-Québec,false,669,900311029.96,376,247
