year,method,method_key,awards,total_cad
2009,Appel d'offres public,open,7569,6203428264.53
2009,Autre,other,99,92715580.86
2009,Gré à gré,direct,7200,1209781488.32
2009,Sur invitation,limited,3660,258761788.12
2010,Appel d'offres public,open,8827,6483589282.44
2010,Autre,other,241,107315522.38
2010,Gré à gré,direct,7148,1405440128.78
2010,Sur invitation,limited,3427,284966317.49
2011,Appel d'offres public,open,13457,9502475183.65
2011,Autre,other,590,221103271.18
2011,Gré à gré,direct,9332,1705375162.33
2011,Sur invitation,limited,8438,471576079.31
2012,Appel d'offres public,open,14736,11852683941.15
2012,Autre,other,1363,483564401.13
2012,Gré à gré,direct,10817,2639656845.62
2012,Sur invitation,limited,8773,845805092.24
2013,Appel d'offres public,open,14707,11974182654.2
2013,Autre,other,1900,534682236.53
2013,Gré à gré,direct,12138,5179579140.27
2013,Sur invitation,limited,8108,528869346.11
2014,Appel d'offres public,open,14200,9677022922.05
2014,Autre,other,2097,802815052.92
2014,Gré à gré,direct,11398,2891678610.49
2014,Sur invitation,limited,7649,479797853.27
2015,Appel d'offres public,open,14293,12499138774.67
2015,Autre,other,2057,841637107.93
2015,Gré à gré,direct,11445,2264615369.83
2015,Sur invitation,limited,7219,553445487.14
2016,Appel d'offres public,open,13797,10676751269.55
2016,Autre,other,1787,859784491.82
2016,Gré à gré,direct,12088,2852949565.26
2016,Sur invitation,limited,6882,773399132.67
2017,Appel d'offres public,open,15546,15711900421.57
2017,Autre,other,1765,1019244397.07
2017,Gré à gré,direct,14066,3401935492.35
2017,Sur invitation,limited,6621,821274222.31
2018,Appel d'offres public,open,16151,19287045911.91
2018,Autre,other,1906,2160744015.32
2018,Gré à gré,direct,16936,5545670220.19
2018,Sur invitation,limited,6843,412758865.31
2019,Appel d'offres public,open,17940,20664865159.37
2019,Autre,other,1929,823413823.1
2019,Gré à gré,direct,18583,5083758367.31
2019,Sur invitation,limited,6097,585988151.91
2020,Appel d'offres public,open,12870,16403677401.45
2020,Autre,other,53,304862677.59
2020,Gré à gré,direct,15961,4453958459.06
2020,Sur invitation,limited,2944,2513376315.46
2021,Appel d'offres public,open,24196,31557753075.97
2021,Autre,other,286,387626034.03
2021,Gré à gré,direct,28952,16666995786.58
2021,Sur invitation,limited,6698,490073556.99
2022,Appel d'offres public,open,25667,32111542835.3
2022,Gré à gré,direct,31758,11221233558.46
2022,Sur invitation,limited,6900,487275742.82
2023,Appel d'offres public,open,25710,48747890864.06
2023,Gré à gré,direct,34976,11328988626.8
2023,Sur invitation,limited,7215,545536778.88
2024,Appel d'offres public,open,24557,43280743742.2
2024,Gré à gré,direct,34284,8352580444.9
2024,Sur invitation,limited,7464,718024910.43
2025,Appel d'offres public,open,18379,26671776716.28
2025,Gré à gré,direct,24729,9214452638.19
2025,Sur invitation,limited,5297,550908323.1
2026,Appel d'offres public,open,7225,10466881452.98
2026,Gré à gré,direct,8864,2086622225.79
2026,Sur invitation,limited,2040,203166563.65
