month,method_key,awards,total_cad
2009-01-01,direct,345,44572979.24
2009-01-01,limited,187,14372703.55
2009-01-01,open,337,647515390.49
2009-01-01,other,1,60000.0
2009-02-01,direct,375,51297960.69
2009-02-01,limited,231,14526773.05
2009-02-01,open,332,279865841.88
2009-02-01,other,5,1437735.0
2009-03-01,direct,586,66991720.12
2009-03-01,limited,320,19762344.17
2009-03-01,open,764,627262911.34
2009-03-01,other,11,7920233.61
2009-04-01,direct,1195,152290330.2
2009-04-01,limited,351,26844797.58
2009-04-01,open,740,476950907.66
2009-04-01,other,4,3224328.8
2009-05-01,direct,843,160924158.4
2009-05-01,limited,401,34445812.0
2009-05-01,open,936,728468170.36
2009-05-01,other,5,875241.0
2009-06-01,direct,1013,245263759.35
2009-06-01,limited,500,34138389.18
2009-06-01,open,1067,684887518.6
2009-06-01,other,10,8189520.27
2009-07-01,direct,706,159501229.63
2009-07-01,limited,341,29090528.47
2009-07-01,open,755,699230211.35
2009-07-01,other,5,1298711.4
2009-08-01,direct,363,91736232.78
2009-08-01,limited,242,15531582.91
2009-08-01,open,476,468993966.7
2009-08-01,other,17,19354252.69
2009-09-01,direct,422,61366609.92
2009-09-01,limited,338,21819125.41
2009-09-01,open,640,463417848.08
2009-09-01,other,8,6012751.69
2009-10-01,direct,462,56795209.44
2009-10-01,limited,316,16984908.65
2009-10-01,open,605,497882026.82
2009-10-01,other,13,19347323.7
2009-11-01,direct,469,55333561.63
2009-11-01,limited,228,13372520.62
2009-11-01,open,429,338619313.19
2009-11-01,other,10,23808353.2
2009-12-01,direct,421,63707736.92
2009-12-01,limited,205,17872302.53
2009-12-01,open,488,290334158.06
2009-12-01,other,10,1187129.5
2010-01-01,direct,360,63067155.13
2010-01-01,limited,165,8455169.55
2010-01-01,open,384,431661571.75
2010-01-01,other,12,9643046.0
2010-02-01,direct,385,47002103.59
2010-02-01,limited,208,10443310.65
2010-02-01,open,430,240087363.6
2010-02-01,other,21,8012796.23
2010-03-01,direct,599,113724021.71
2010-03-01,limited,296,33120800.72
2010-03-01,open,779,449844441.17
2010-03-01,other,27,24324878.32
2010-04-01,direct,1112,198540979.31
2010-04-01,limited,288,18038091.61
2010-04-01,open,1038,588624635.83
2010-04-01,other,14,4284958.15
2010-05-01,direct,799,132731515.63
2010-05-01,limited,360,22767293.69
2010-05-01,open,1121,739473663.83
2010-05-01,other,19,9740924.36
2010-06-01,direct,1010,283076132.92
2010-06-01,limited,484,37228787.64
2010-06-01,open,1148,1074046667.38
2010-06-01,other,13,9363323.88
2010-07-01,direct,627,180319263.05
2010-07-01,limited,301,37700390.17
2010-07-01,open,714,679535986.71
2010-07-01,other,32,3663079.95
2010-08-01,direct,482,98970208.02
2010-08-01,limited,269,26743829.4
2010-08-01,open,581,465091391.69
2010-08-01,other,18,7410083.85
2010-09-01,direct,445,65643451.01
