notice_number,buyer_name,supplier_name,title,awarded_cad,overrun_cad,expense_count,reason,overrun_pct,seao_url
1078190,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",KPH,"1301-14-0901 Contrat de conception-construction des ouvrages, du démentèlement des infrastructures pour le Complexe Turcot.",1522145000.0,299775000.0,1,Dommages ou contraintes imprévisibles ne pouvant être connus avant les travaux,19.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=f2dcc25b-9c68-4d7f-82d4-71508bf33d96
1273691,Centre de services partagés du Québec- Direction générale des services en gestion contractuelle,Solutions Informatiques Inso inc.,"Micro-ordinateurs de table, portables, serveurs x86 et tablettes électroniques pour les parties au regroupement d’achats",1.0,108000000.0,1,Le besoin supplémentaire est requis pour combler les besoins de la clientèle jusqu'à la date de fin du contrat et ce pour tout les fournisseur qui ont le contrat,,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=e17793dd-e3ab-47b8-ad93-1aed467721cd
981223,Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),Toshiba du Canada Limitée,"Micro-ordinateurs de table, portables, serveurs x86 et tablettes électroniques pour les clients de l’achat regroupé",1.0,69400000.0,2,Un montant additionnel a été alloué au regroupement d'achats afin de continuer à répondre aux besoins urgents de la clientèle et éviter une rupture de service.,,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=eecbd0aa-f24d-4293-88b0-8253582e46fc
383482,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)","Groupe Hexagone, s.e.c..",Réaménagement de la partie nord de l'échangeur Décarie au croisement des autoroutes 40 et 15 (Montréal et Mont-Royal),61234874.21,40697968.79,10,Poursuites judiciaires ou réclamations,66.5,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=c0d1d183-5782-40bb-8250-aefcafeaf0bb
1110354,Centre d'acquisitions gouvernementales,"Cossette Média, division de Cossette Communication Inc.",Agence de placement médias (APM),260000000.0,39000000.0,1,La conclusion d’un avenant de 39 000 000 $ au contrat initial permettra la continuité des services pendant la préparation du prochain appel d’offres,15.0,
877880,Régie des installations olympiques,Verreault Inc.,Services de gérance de construction pour la mise aux normes et la rénovation de la Tour de Montréal (Projet 99-727),6342800.0,38011894.3,3,Révision du montant des honoraires et de frais remboursables en fonction des variations dans l'estimé du coût total des travaux / Révision également en lien avec certains travaux prévus originalement via des entrerpreneurs spécialisés mais maintenant planifiés en régie contrôlée,599.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=518165ab-c4c2-4d3b-b6b6-a6126849dcba
1096381,Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),IBM Canada ltée,Produits IBM pour les clients de l'achat regroupé,20000000.0,30000000.0,1,Un montant additionnel a été alloué afin de mener à terme le contrat.,150.0,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=195ca017-b3b0-44c0-8dcd-5efde13cd375
679589,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",DB-AECON Pont St-Jacques S.E.P,"(Structures complexes) Démolition du pont St-Jacques et des murs de soutènement, construction du pont d'étagement P-18055, murs et dIvers (Mtl)",54805386.65,29702108.93,2,Modifications au concept initial,54.2,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=4b38cb24-2511-44a3-81a4-026cafb29091
105203,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,Bell Canada,Dossier santé électronique et services régionaux de conservation - Projet «Dossier santé électronique interopérable du Québec»,111401718.0,28288139.0,1,"Ajustenment à la solutin de base, prolongation des enveloppes d'intégration, mise en place des Centres de rraitements provinciaux, acquisition du droit d'utilisation de Rhapsody pour laboratoires du Québec, prolongation du déploiement et du soutien en exploitation, prolongation du service de base",25.4,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=d5e2827d-b796-4cc1-b3e4-b9a32475f0dc
623737,Direction générale des barrages de l'État,EBC,Modernisation et mise aux normes du barrage des Quinze - Lot 2,48227556.88,23923383.52,10,Dépenses supplémentaires occasionnées pour le règlement des impacts reliés aux problématiques ayant causé des délais et un dépassement de coût pour la période du 22 août 2013 au 31 mai 2017.,49.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=7c699929-ec29-465d-a68e-c892d7efa9c2
551822,Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),Rogers Solutions d'affaires,Acquisitions de services cellulaires (voix et données) 2012-2015,30009795.93,22618932.0,3,Montant supplémentaire afin de permettre la poursuite du contrat,75.4,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=9483128d-019b-478c-a861-53af802cc28d
1022969,Ministère des Transports et de la mobilité durable (Direction de l'administration des appels d'offres publics),Pomerleau Inc...,8701-15-1102 - (STRUCTURE COMPLEXE) Reconstruction du pont Gouin sur la rue St-Jacques situé au-dessus de la rivière Richelieu et du Canal de Chambly (St-Jean-sur-Richelieu),70665322.45,18183869.8,2,Dommages ou contraintes imprévisibles ne pouvant être connus avant les travaux,25.7,
640133,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",L.A. Hébert Ltée,"PROJET TURCOT-Construction du boulevard Pullman, reconstruction des rues St-Jacques et St-Rémi et divers travaux connexes (Montréal)",56599049.77,15695592.72,5,Modifications au concept initial,27.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=875e3807-c579-4e37-bf07-372c8d5ea44a
763562,SQI-Direction Gestion de projets Ouest 1 (SQI-Gestion de projets Montréal- SSS),Pomerleau Inc.,"Lot 2 - Travaux majeurs et quais temporaires au 920 boulevard du Séminaire Nord, Saint-Jean-sur-Richelieu (QC)",46700364.0,15065516.36,20,Règlement final,32.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=dcc8ec8a-46df-43a2-85c3-4c1fa5922acf
1043767,SQI-​Direction générale du bureau des projets hospitaliers de Québec-centre,Pomerleau Inc.,"Gérance et réalisation de travaux de construction - Phase 1 - Centre intégré de cancérologie au 1401, 18e Rue à Québec",296844000.0,14317762.17,2,Travaux supplémentaires,4.8,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=0165a8f0-23fb-43d3-905f-8ec7068bb8f5
601490,SigmaSanté,GlaxoSmithKline Inc.,Produits immunisants Diphtérie-Tétanos-Coqueluche-Poliomyelite-Hib,7005400.0,14000000.0,1,La publication inititale couvrait uniquement la 1er année du contrat. Ce contrat est de 2 ans avec une option de 12 mois,199.8,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=83b1f647-d574-4e18-9bc1-87db6f31cb57
724343,SQI-Direction Gestion de projets Est 2 (SQI-Gestion de projets Québec SSS),EBC inc.,Hôtel-Dieu de Lévis,17685000.0,12688189.78,10,Projets litigieux : Dossier judiciarisé,71.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=19b5efd5-7934-417f-a731-63dba2cafbe7
749289,SQI-Direction Gestion de projets Ouest du Québec (SQI-Gestion de projets Montréal CMO),Pomerleau Inc.,"Construction de l'établissement de détention d'Amos, route 111, Amos (Québec)",83548948.0,12279970.16,19,règlement litige,14.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=7c874efe-9fb7-4a6c-acee-5b1acbdc0acf
511489,SigmaSanté,Siemens Santé limitée,Équipements de radiofluoroscopie,7211106.0,11820000.0,2,Appel de prix selon les dispositions du contrat - ajout de 10 équipements au contrat,163.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=69abd8a8-8340-4c2a-b55c-ecbccd15726f
308805,Corporation d'hébergement du Québec,EBC inc.,Hôtel-Dieu de Lévis,17685000.0,11320321.01,2,Projet litigieux: Dossier judiciarisé,64.0,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=a9212673-1732-47ad-83ce-d9387a4e4fa6
534411,Direction générale des barrages de l'État,BPR - Energie Inc,Services professionnels d’ingénierie pour les travaux de modernisation et de mise aux normes de l’évacuateur du barrage des Quinze,5900000.0,11223743.0,7,"services de surveillance supplémentaires de 2016-04-01 au 2017-03-31, services pour le suivi de l'aménagement de la frayère et préparation des vérifications des équipements mécaniques et électriques.",190.2,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=5743f234-4120-4373-954b-7f84f95e99b5
1336401,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),Construction Génix Inc.,2503-19-0213 - Réparation des ponts P-13469E et P13469W situés sur l'autoroute 20 (Dorval).,9067473.0,10623851.7,2,Travaux additionnels urgents pour la sécurité du public,117.2,
1119911,CHU de Québec-Université Laval,Varian Medical Systems,Accélérateurs linéaires,31086282.95,10360000.0,1,Acquisition de deux (2) accélérateurs linéaires supplémentaires.,33.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=facb105b-bcfc-418e-849d-9effc092901f
1155923,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",K+S Sel Windsor ltée,5404-17-AP31 - Chlorure de sodium (sel de déglaçage) 2017-2018 - Commande annuelle 1 de 10,56997650.77,10162044.17,1,Dépassement relié à des variations de quantité sur un contrat à commandes en approvisionnement,17.8,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=4394aef3-16b9-483f-bf2d-108da227f5a7
1061601,Société du Grand Théâtre de Québec.,POMERLEAU INC .,"Publication 2ième étape #824301 : Réfection de l'enveloppe extérieure du Grand Théâtre de Québec",16183252.46,10088002.36,51,"Réfection de l'enveloppe extérieure du GTQ - Ordres de changements #5",62.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=a07db083-04a3-47c5-bfbe-077dbffc75d9
752902,SQI-Direction Gestion de projets Est 1 (SQI-Gestion de projets Québec CMO),Pomerleau Inc.,"Nouvel établissement de détention de Sept-Îles - Boul. Vigneault, Sept-îles",61361117.0,9756856.85,8,Imprévus de chantier,15.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=5d8cf0d8-25c9-484e-b05a-b25f2dcb677d
581681,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Les Grands Travaux Soter,(Structures Complexes) Reconstruction du pont sur le boul. Cartier et réparation du pont Médéric-Martin (A-15) et divers travaux (Laval et Montréal),23417074.77,9583911.77,9,Travaux additionnels urgents aux structures,40.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=ff883c3c-943e-4e59-95e6-4a4a4931dd4f
701438,SQI-Direction Gestion de projets Ouest du Québec (SQI-Gestion de projets Montréal CMO),Verreault Inc.,Gérance de construction (Contrat mixte serv. professionnels et construction - Rapport qualité/prix) Réfection et agrand. de l'Édifice Wilder -Mtl,4700873.2,9388499.48,10,Imprévus de chantier,199.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=908bf7aa-0f5c-4dd7-aceb-4822bff0b51d
1260762,Centre de services partagés du Québec- Direction générale des services en gestion contractuelle,Microsoft Canada Inc.,Contrat à commandes Microsoft Entreprise pour les clients du regroupement d'achats,30000000.0,9000000.0,1,Un montant additionnel a été alloué afin de mener à terme le contrat.,30.0,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=c49d1f26-e84f-48c6-abe3-0013165e6895
515270,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Hamel Construction inc,STRUCTURES COMPLEXES - Construction d’une chaussée de l’autoroute 20 incluant structure de chaussée et de ponts considérées complexes (L'Isle-Verte),57150000.0,8747481.18,2,Modifications au concept initial,15.3,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=c7e4686a-5844-4147-a1a5-d7fabb2b460d
