organization,programme,economic_category,standard_object,appropriation,amount
Employment and Social Development Canada,Old Age Security,transfers,Transfer payments,statutory,80190328628.6
Department of Finance Canada,Internal Services,transfers,Transfer payments,statutory,52609047030.01
Department of Finance Canada,Market Debt and Foreign Reserves Management,debt_service,Public debt charges,statutory,47995144537.39
Department of Finance Canada,Fiscal Arrangements with Provinces and Territories,transfers,Transfer payments,statutory,40008781761.84
Canada Revenue Agency,Internal Services,transfers,Transfer payments,statutory,15880199253.81
Crown-Indigenous Relations and Northern Affairs Canada,Specific Claims,transfers,Transfer payments,unknown,8331944493.55
Employment and Social Development Canada,Appeals,transfers,Transfer payments,unknown,7233691521.96
Treasury Board of Canada Secretariat,Public Service Employer Payments,personnel,Personnel,statutory,6425000000.02
Department of Indigenous Services,Community Infrastructure,transfers,Transfer payments,unknown,5543967532.07
Health Canada,Responsive Health Care Systems,transfers,Transfer payments,unknown,5081361266.0
Treasury Board of Canada Secretariat,Public Service Employer Payments,personnel,Personnel,unknown,4996762557.8
"Housing, Infrastructure and Communities Canada",Allocation-Based and Direct Funding Stewardship,transfers,Transfer payments,unknown,4516999636.0
Department of Indigenous Services,Child and Family Services,transfers,Transfer payments,unknown,4448777303.79
Employment and Social Development Canada,Canada Student Financial Assistance Program and Canada Apprentice Loan,transfers,Transfer payments,statutory,3763431509.75
Veterans Affairs Canada,Disability Benefits,transfers,Transfer payments,unknown,3629646664.57
Department of Indigenous Services,Elementary and Secondary Education,transfers,Transfer payments,unknown,3218463682.45
Canada Mortgage and Housing Corporation,Assistance for housing needs,other,Other subsidies and payments,unknown,2763894846.5
Department of Finance Canada,Internal Services,other,Other subsidies and payments,statutory,2379762736.0
"Housing, Infrastructure and Communities Canada",Allocation-Based and Direct Funding Stewardship,transfers,Transfer payments,statutory,2368157557.0
Crown-Indigenous Relations and Northern Affairs Canada,Management of Treaties and Agreements,transfers,Transfer payments,unknown,2287065027.9
"Innovation, Science and Economic Development Canada",Business Innovation,transfers,Transfer payments,unknown,2182577512.46
Department of Indigenous Services,Jordan's Principle and the Inuit Child First Initiative,transfers,Transfer payments,unknown,2021784455.14
Global Affairs Canada,Multilateral International Assistance,transfers,Transfer payments,unknown,2006659251.67
"Immigration, Refugees and Citizenship Canada",Settlement,transfers,Transfer payments,unknown,1995709232.02
