region,awards,total_cad
Non précisé,394040,325315011107.43
Montréal,98089,46378899645.55
Capitale Nationale,55299,23725328221.5
Lanaudière,39751,16398090783.34
Chaudière-Appalaches,15562,5923012109.01
Montérégie,17391,5904546275.94
Estrie,16824,5599963086.85
Laval,10977,5525840724.74
Outaouais,11522,4704358512.7
Laurentides,11858,4429697932.26
Saguenay-Lac-St-Jean,12889,3862587031.99
Mauricie,10657,3278725147.97
Bas St-Laurent,10704,3030903482.86
Abitibi-Témiscaminque,7036,2475151826.66
Côte-Nord,5849,2316386642.51
Centre-du-Québec,7886,2315975809.29
Nord-du-Québec,4897,1720440807.84
Hors Québec,632,112233692.3
Gaspésie-Iles-de-la-Madeleine,149,24401963.94
