fiscal_year,authorities,expenditures
2011-12,239789607646.95,228232832653.12
2012-13,240160023369.0,227817423052.0
2013-14,239223580267.99,229961544948.73
2014-15,242568555458.0,231140429789.26
2015-16,253492975017.0,241399435782.0
2016-17,259137181687.0,245954583410.0
2017-18,275244140445.91,261403109138.31
2018-19,293058034077.0,276840535641.98
2019-20,321207816179.0,303595160828.0
2020-21,474885053301.0,439638996703.0
2021-22,417014888827.64,376078864833.98
2022-23,447722607533.0,390902746052.0
2023-24,509100606465.84,474880957230.07
2024-25,496221770616.48,474431419391.97
