jurisdiction,fiscal_year,organization,programme,kind,amount
ca-federal,2011-12,Department of Employment and Social Development,Old Age Security payments (Old Age Security Act),appropriation,28868796840.0
ca-federal,2011-12,Department of Finance,Interest on Unmatured Debt,appropriation,27881332474.0
ca-federal,2011-12,Department of Finance,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,26941815102.0
ca-federal,2011-12,Department of National Defence,Operating/Program,appropriation,15039558546.0
ca-federal,2011-12,Department of Finance,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),appropriation,14658570000.0
ca-federal,2011-12,Department of Finance,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,11514064000.0
ca-federal,2011-12,Department of Employment and Social Development,Guaranteed Income Supplement Payments (Old Age Security Act),appropriation,8638062109.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,Grants & Contributions,appropriation,6338019045.0
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",Grants & Contributions,appropriation,4197098781.0
ca-federal,2011-12,Canadian International Development Agency,Grants & Contributions,appropriation,3278588220.0
ca-federal,2011-12,Department of National Defence,Capital,appropriation,3255231544.0
ca-federal,2011-12,Canada Revenue Agency,Operating/Program,appropriation,3158001277.0
ca-federal,2011-12,Department of Finance,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),appropriation,2876083006.0
ca-federal,2011-12,Department of Employment and Social Development,Universal Child Care Benefit (Universal Child Care Benefit Act),appropriation,2691016827.0
ca-federal,2011-12,Department of Veterans Affairs,Grants & Contributions,appropriation,2511656858.0
ca-federal,2011-12,Treasury Board Secretariat,Treasury Board Central,appropriation,2186595248.0
ca-federal,2011-12,Department of Public Works and Government Services,Operating/Program,appropriation,2175092763.0
ca-federal,2011-12,Royal Canadian Mounted Police,Operating/Program,appropriation,2119252589.0
ca-federal,2011-12,Correctional Service of Canada,Operating/Program,appropriation,2075159200.0
ca-federal,2011-12,Canada Mortgage and Housing Corporation,Payments to Crown Corps,appropriation,2048052949.0
ca-federal,2011-12,Department of Health,Operating/Program,appropriation,2016186192.0
ca-federal,2011-12,Department of Employment and Social Development,Grants & Contributions,appropriation,1647406307.0
ca-federal,2011-12,Department of Finance,"Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)",appropriation,1560200000.0
ca-federal,2011-12,Canada Border Services Agency,Operating/Program,appropriation,1521118147.0
ca-federal,2011-12,Department of Health,Grants & Contributions,appropriation,1511881318.0
ca-federal,2011-12,Department of Employment and Social Development,"(S) Old Age Security Payments (R.S.C., 1985, c. O-9)",transfer,28868796840.0
ca-federal,2011-12,Department of Finance,(S) Canada Health Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,26941815102.0
ca-federal,2011-12,Department of Finance,(S) Fiscal Equalization (Part I—Federal-Provincial Fiscal Arrangements Act),transfer,14658570000.0
ca-federal,2011-12,Department of Finance,(S) Canada Social Transfer (Part V.1—Federal-Provincial Fiscal Arrangements Act),transfer,11514064000.0
ca-federal,2011-12,Department of Employment and Social Development,"(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",transfer,8638062109.0
ca-federal,2011-12,Department of Finance,(S) Territorial Financing (Part I.1—Federal-Provincial Fiscal Arrangements Act),transfer,2876083006.0
ca-federal,2011-12,Department of Employment and Social Development,(S) Universal Child Care Benefit,transfer,2691016827.0
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",Gas Tax Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2205848069.0
ca-federal,2011-12,Canadian International Development Agency,"Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appeals for the benefit of developing countries or territories or countries in transition",transfer,1962509222.0
ca-federal,2011-12,Department of Veterans Affairs,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, P.C. 45/8848 of November 22, 1944, which shall be subject to the Pension Act; for former prisoners of war under the Pension Act, and Newfoundland special awards",transfer,1695057510.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in social development",transfer,1652205120.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in education",transfer,1631608789.0
ca-federal,2011-12,Department of Finance,(S) Payments to Provinces for assistance with Sales Tax Harmonization,transfer,1560200000.0
ca-federal,2011-12,Department of Crown-Indigenous Relations and Northern Affairs,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",transfer,1061291273.0
ca-federal,2011-12,Department of Natural Resources,(S) Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund (Canada-Newfoundland Atlantic Accord Implementation Act),transfer,1059753176.0
ca-federal,2011-12,Department of Finance,(S) Additional fiscal equalization payment-Total transfer protection,transfer,952107000.0
ca-federal,2011-12,Natural Sciences and Engineering Research Council,Grants and Scholarships,transfer,857505969.0
ca-federal,2011-12,Canadian Institutes of Health Research,Grants for research projects and personnel support,transfer,855711960.0
ca-federal,2011-12,"Department of Housing, Infrastructure and Communities",Contributions under the Building Canada Fund Major Infrastructure Component,transfer,758518037.0
ca-federal,2011-12,Canadian International Development Agency,"Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or country specific development assistance programs, projects and activities for the benefit of developing countries or territories or countries in transition",transfer,739926150.0
ca-federal,2011-12,Department of Health,Contributions for First Nations and Inuit Primary Health Care,transfer,698521456.0
ca-federal,2011-12,Department of Employment and Social Development,(S) Canada Education Savings grant payments to Registered Educations Savings Plan trustees on behalf of Registered Educations Savings Plan beneficiaries to encourage Canadians to save for post-secondary education for their children (Canada Education Savings Act),transfer,691542116.0
ca-federal,2011-12,Department of Employment and Social Development,(S) Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,transfer,648936690.0
ca-federal,2011-12,Department of Citizenship and Immigration,Settlement Program,transfer,593693433.0
ca-federal,2011-12,Department of Employment and Social Development,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market",transfer,587518725.0
