supplier_name,neq,city,awards,total_cad,direct_awards
RÉGIE INTERMUNICIPALE DE GESTION DES DÉCHETS DES CHUTES-DE-LA-CHAUDIÈRE,,,4,8841532910.8,4
Beneva inc.,1144532687,Québec,209,5213000524.5,74
POMERLEAU INC.,1173674830,Saint-Georges,60,3876690738.57,10
Groupe Héritage Île-d’Orléans S.E.N.C.,3378980323,Montréal,2,3737661564.71,0
9453-0748 Québec inc.,1177052678,Saint-Georges,2,3304529910.78,2
Renouveau La Fontaine inc.,1174544859,Boucherville,2,2266760619.21,0
Pomerleau Inc.,1142005934,Ville Saint-Georges,104,2230054662.59,10
Epic,,Verona,2,2022533278.0,0
Groupe Nouveau Pont Île-aux-Tourtes inc.,1178045911,Montréal,1,1965279240.42,0
NOVA BUS INC.,1176749639,Saint-Eustache,4,1829891215.32,1
MOBILITÉ BLEU HORIZON S.E.N.C.,3378149200,Saint-Georges,7,1691274399.45,0
Eurovia Québec Construction Inc.,1169491884,Shawinigan,769,1680462759.38,57
TRANSDEV QUÉBEC INC.,1143658871,Sherbrooke,34,1661931698.95,6
TISSEUR INC.,1181553471,Val-David,48,1578632404.36,0
EBC INC.,1140169609,Montréal,39,1534356103.78,1
KPH,3369775690,Boisbriand,1,1522145000.0,0
Nova Bus,1164894470,Saint-Eustache,9,1506005418.38,2
MICROSOFT CANADA INC.,1168494905,Toronto,377,1466045878.0,349
"LANDIS+GYR CANADA, INC.",1167388801,Saint-Hubert,1,1379000000.0,1
ROXBORO EXCAVATION INC.,1142760280,L'Épiphanie,231,1363334077.0,8
CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC.,1160358728,Québec,579,1274251585.52,71
Hoffmann La-Roche Ltd.,1148069512,Mississauga,21,1243324412.95,8
La Capitale assureur de l'administration publique inc.,1173318354,Racine,49,1230928142.06,36
SOCIÉTÉ CONSEIL GROUPE LGS,1142691709,Québec,315,1209159581.47,21
LE CABINET RH INC.,1173696007,Saint-Lambert. (Montérégie),33,1175776286.81,29
LEVIO CONSEILS INC.,1169672574,Québec,631,1166229802.05,61
GEMEL INC.,1180000094,Trois-Rivières,61,1145853753.17,46
LES EXCAVATIONS LAFONTAINE INC.,1143758283,Lévis,387,1136147553.53,20
Desjardins,1160506722,Montréal,18,1133605829.35,0
Sectra Canada,,,2,1103692354.14,0
GROUPE GEYSER INC.,1165489478,Laval,31,1081177259.37,1
Corporation Baxter,1171462808,Mississauga,313,1059200088.17,187
Bell Canada,1172462849,Verdun,1452,1042566516.15,483
WSP Canada inc.,3371233944,Val-d'Or,927,992200652.84,137
CGI Inc.,1160358728,Québec,466,960086474.68,26
GROUPE COLAS QUÉBEC INC.,1145755295,Sorel-Tracy,610,942850690.76,36
Roxboro Excavation INC..,1142760280,Montréal,207,935590178.76,2
Microsoft Corporation,1168494905,Washington,122,900281013.65,115
SINTRA INC.,1145755295,Sorel-Tracy,589,897672095.7,20
LOGIBEC INC.,1175995282,Québec,638,878290723.77,635
Cofomo Québec inc.,1167786996,Québec,508,853141278.3,70
Groupe AXOR Inc.,1143151661,Montréal,32,831348239.53,2
Couillard Construction Ltée.,1143700343,Coaticook,142,815620615.73,4
Les Pétroles Parkland,1168763879,Montréal-Est,10,755989543.03,2
GCPC S.E.N.C.,3377308245,Saint-Georges,2,749312450.0,2
COFOMO INC.,1176499714,Montréal,341,739791991.03,45
LA CORPORATION MCKESSON CANADA,1165833469,Montréal-Est,222,737530522.44,196
Entreprise de Construction TEQ inc.,1144233385,Montréal,74,732217582.24,4
CIMA+ S.E.N.C.,3347757984,Trois-Rivières,1293,724417174.25,589
Lenovo (Canada) Inc.,1162894027,Montréal,154,708118373.82,8
iA,1168366202,Montréal,4,704160534.23,0
"Énergir, s.e.c.",3341719501,Montréal,152,701971859.41,151
Construction Deric inc.,1169078178,Québec,129,701139323.19,16
LGI SOLUTIONS SANTÉ INC.,1175995282,Québec,190,696121440.08,190
La Compagnie de Téléphone Bell du Canada ou Bell Canada,1172462849,ottawa,833,684896773.05,368
Société Conseil Groupe LGS,1142961709,Québec,287,678734497.8,17
Alithya Canada Inc.,1144392173,Québec,584,677822819.39,81
"Demix Construction, une division de CRH Canada inc.",1171462923,Longueuil,133,677128411.37,2
Les Entreprises Michaudville Inc.,1142707943,Montréal,171,663969523.87,3
9421-4772 Québec inc. (Ere de vie),1175607580,Saint-Georges,2,663102161.74,0
"Mines Seleine, une division de Sel Windsor Ltée",1175851279,Pointe-Claire,217,650336276.1,4
"Groupe Hexagone, s.e.c..",3365348633,Laval,148,639494374.62,0
Groupe Geyser inc.,1165489478,Laval,41,618259620.18,1
EBC,1140169609,L'Ancienne-Lorette,29,615885023.22,0
Groupe de sécurité Garda SENC,3368599133,Sept-Iles,276,612101392.68,68
HP CANADA CIE,1174250259,Mississauga,38,601721352.14,1
TRANSITION SERVICES CONSEILS INC.,1180675085,Québec,322,594015761.16,3
GROUPE DE SÉCURITÉ GARDA SENC,3368599133,Saint-Laurent-de-l'Ile-d'Orléans,276,589580047.47,143
HOFFMANN-LA ROCHE LIMITÉE,1148069512,Mississauga,107,586489763.22,94
DELL CANADA INC.,1176265016,kanata,135,583856011.52,74
Fujitsu Canada (Réception des appels d'offres),1143039486,Québec,309,579203841.39,5
Hamel Construction inc,1147881040,Saint-Édouard-de-Lotbinière,50,579000331.8,0
GFL ENVIRONMENTAL INC.,1175311910,Vaughan,370,576241801.29,57
MICRO LOGIC SAINTE-FOY LTÉE,1172265846,Sainte-Foy,971,571186714.14,476
LES ENTREPRISES MICHAUDVILLE INC.,1142707943,Mont-Saint-Hilaire,142,566162212.44,6
Groupe TNT Inc.,1160480704,Saint-Jérôme,154,554958851.4,0
HAMEL CONSTRUCTION INC.,1179961918,Saint-Édouard-de-Lotbinière,40,552268510.78,0
Tisseur Inc,1149222300,Val-David,51,550809447.32,0
SANEXEN SERVICES ENVIRONNEMENTAUX INC.,1172408883,Rouyn-Noranda,192,544875177.5,20
Motorola Solutions Canada inc.,1161303822,Québec,18,540827941.72,11
MAGIL CONSTRUCTION EST DU CANADA INC.,1165113110,Montréal,11,539683653.5,0
ORACLE CANADA ULC,1166275785,Toronto,616,534559664.89,605
Commissionnaires du Québec,1169719847,Montréal,91,533496103.91,9
MEDTRONIC CANADA ULC,1149830540,Pointe-Claire,609,520801475.25,482
Groupe Gagné Construction inc.,1161483517,Saint-Christophe-d'Arthabaska,113,519033024.49,2
Construction & Pavage Portneuf,1142323634,Saint-Marc-des-Carrières,350,518668045.89,3
LOISELLE INC.,1142482703,Salaberry-de-Valleyfield,70,514877821.74,7
SOLUTIONS INFORMATIQUES INSO INC.,1181955569,Sherbrooke,394,514585351.78,99
CHAREX INC.,1167167742,Mirabel,101,508282056.3,4
LES SERVICES EXP INC.,1167268128,Victoriaville,1495,507126468.59,802
Paul Arbec inc,1141030420,Rawdon,4,499056598.3,1
CARDINAL HEALTH CANADA INC.,1147150800,Vaughan,420,497269298.05,306
Cossette Communication Marketing - siège social Québec,1166725599,Québec,42,491214117.14,20
Construction Demathieu & Bard (CDB) Inc.,1147057740,Saint-Jérôme,33,490258384.39,0
DEMIX CONSTRUCTION UNE DIVISION DE GROUPE CRH CANADA INC.,1171462923,Laval,93,488569970.07,1
L.A. Hébert Ltée,1143421148,St-Constant,91,487095733.02,1
LES CONSTRUCTIONS PÉPIN ET FORTIN INC.,1142110015,Val-d'Or,57,482493483.02,4
PBSC Solutions Urbaines Inc.,1177528412,Longueuil,23,481844167.79,20
Allen Entrepreneur Général Inc.,1142398784,Sherbrooke,206,481567731.27,10
COMPUGEN INC.,1149538739,Richmond,488,481068866.05,265
