notice_number,buyer_name,supplier_name,awarded_cad,final_cad,delta_cad,delta_pct
1554975,Ville de Lévis.,RÉGIE INTERMUNICIPALE DE GESTION DES DÉCHETS DES CHUTES-DE-LA-CHAUDIÈRE,8831846264.0,4252595.85,-8827593668.15,-100.0
1471277,Société de transport de Montréal,PRODUCTION ELECTRONIQUE INC.,32328.87,6000012704.0,5999980375.13,18559202.3
1817031,Ville de Montréal,Brûlé Murray & associés inc.,1070401.73,5549856324.8,5548785923.07,518383.5
1719347,Ministère des Transports et de la Mobilité durable (Direction générale de la gestion contractuelle),Renouveau La Fontaine inc.,1133380309.63,2333582534.23,1200202224.6,105.9
1829665,Université du Québec à Montréal,LE CABINET RH INC.,1173696007.0,168036.53,-1173527970.47,-100.0
1546316,"SQI-Direction immobilière Saguenay-Lac-Saint-Jean, Côte-Nord",GEMEL INC.,1141487083.0,27881.9,-1141459201.1,-100.0
1351542,Ville de Québec,AGIRO,939442.54,939442054.0,938502611.46,99899.9
942070,Groupe d'approvisionnement en commun de l'Est du Québec - Section Québec / Chaudière-Appalaches,Mckesson,19645519.0,710891516.7,691245997.7,3518.6
1290361,SQI-​Direction générale du bureau des projets hospitaliers de Québec-centre,Groupe AXOR Inc.,567900000.0,1066643447.46,498743447.46,87.8
20068206,Université Laval,CANADIAN RESEARCH KNOWLEDGE NE TWORK,4800000.0,408257592.0,403457592.0,8405.4
591922,Centre de services partagés du Québec- Direction générale des acquisitions (DGACQ),Cossette Communication Marketing - siège social Québec,450000000.0,127373898.0,-322626102.0,-71.7
1731996,Ville de Rosemère.,LÉVEILLÉ FORD INC.,319745348.0,318020.85,-319427327.15,-99.9
1753562,Centre intégré de santé et de services sociaux de Laval,MAISONS DE LA TOURELLE,11144982.0,273031584.0,261886602.0,2349.8
1332660,Centre d'acquisitions gouvernementales,Synergie Hunt International - Québec,261447655.85,18190461.43,-243257194.42,-93.0
1717539,Ville de Montréal - Service de la Gestion et de la Planification des Immeubles,LES ENTREPRISES PROTEAU ET GARNEAU INC.,388155.6,209512001.0,209123845.4,53876.3
